Model : resnet101 - Learning Type: mnist/bacp_pruning/movement_pruning/0.97
Configuration:
model_name: resnet101
model_task: mnist
model_type: cv
num_classes: 10
batch_size: 512
learning_rate: 0.001
optimizer_type: sgd
epochs: 1
recovery_epochs: 0
patience: 20
pruning_type: movement_pruning
target_sparsity: 0.97
sparsity_scheduler: cubic
pruning_epochs: 1
n_views: 2
temperature: 0.07
base_temperature: 0.07
device: cuda
enable_mixed_precision: True
num_workers: 24
train_batches: 99
val_batches: 17
current_model_path: /dbfs/research/resnet101/mnist/resnet101_mnist_movement_pruning_0.97_bacp_pruning.pt

Epoch [1/1]: Avg Total Loss: 8.1928 | Avg PrC Loss: 3.7299 | Avg SnC Loss: 0.0000 | Avg FiC Loss: 3.8838 | Avg CE Loss: 0.5791 | Model Sparsity: 0.97
